chieuDai,chieuNgang,dienTich,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Phuong
12.0,3.75,42.0,4345.416666666667,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông
18.0,6.4,112.0,2522.5,7,2.0,7.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường bình hưng hoà a
10.0,4.5,45.0,4212.916666666667,4,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông
16.0,4.0,64.0,3775.8333333333335,3,2.0,4.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hòa
10.0,4.0,40.0,3125.0,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hoà a
12.0,4.0,48.0,2604.1666666666665,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hoà a
10.0,4.0,40.0,4010.4166666666665,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình hưng hoà a
12.0,4.0,48.0,6510.416666666667,4,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,phường an lạc a
4.0,3.0,12.0,3455.0,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường bình trị đông a
14.0,4.0,56.0,4241.25,5,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,,phường bình trị đông
21.5,4.0,86.0,2713.3333333333335,5,4.0,6.0,"nhà ngõ, hẻm",,nội thất cao cấp,phường bình trị đông
18.0,4.0,72.0,3443.3333333333335,5,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,phường bình trị đông
16.0,4.0,64.0,3841.25,4,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,,phường bình hưng hòa
10.0,4.0,40.0,3302.0833333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hòa
18.0,4.0,72.0,4050.8333333333335,5,4.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông
10.0,4.0,40.0,2166.6666666666665,4,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hoà b
13.0,4.7,62.0,2822.5,4,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường tân tạo
11.5,4.5,51.0,3553.75,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường tân tạo
15.5,4.0,62.0,4099.583333333333,4,5.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình trị đông a
30.0,4.0,120.0,2810.8333333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường tân tạo
15.0,4.0,60.0,3742.9166666666665,3,2.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,phường bình trị đông a
9.0,4.0,36.0,3240.8333333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hòa
8.0,4.0,32.0,2213.3333333333335,2,3.0,2.0,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,hoàn thiện cơ bản,phường tân tạo a
14.0,4.0,56.0,2976.25,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,phường bình trị đông a
10.0,5.0,50.0,4208.333333333333,5,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,phường tân tạo
20.0,4.0,80.0,2760.4166666666665,2,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,phường bình hưng hòa
10.0,4.0,40.0,3802.0833333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,phường bình trị đông
14.0,4.0,56.0,3935.8333333333335,4,4.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,phường tân tạo
13.0,5.0,65.0,628.3333333333334,3,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,phường bình trị đông a
